word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
ով	53	29.07933721057829	4.463584503663313	2	8	ոչ, եվ, ոք, յվ, ոգ, ծով, ոտ, ճով	1.6	3.427767009930963	0.8717766244549714	0.2857142857142857	ov	2	oh, or	1.9	4.348313655554705	0.1618469901499626	1.0	0		2.0			0.0	2
այստեղ	53	29.07933721057829	4.463584503663313	6	4	այնտեղ, այդտեղ, աստեղ, այսեղ	2.3	3.343468760897093	0.6303072337465435	0.1666666666666666	aɪsteʀ	4	aɪnteʀ, aɪdteʀ, asteʀ, aɪseʀ	2.35	3.343468760897093	0.6303072337465435	0.1666666666666666	4	այնտեղ(aɪnteʀ), այդտեղ(aɪdteʀ), աստեղ(asteʀ), այսեղ(aɪseʀ)	2.35	3.343468760897093	0.6303072337465435	0.1666666666666666	6
պետք	52	28.530670470756064	4.455311977697322	4	2	չպետք, պետքն	1.9	3.0403386297265045	0.3010299956639812	0.0	petkʰ	0		2.1			0.0	0		2.35			0.0	5
երբ	52	28.530670470756064	4.455311977697322	3	1	եր	1.95	3.0403386297265045	0.0	0.0	jerb	2	jer, jer	1.9	3.0403386297265045	0.0	0.0	2	եր(jer), եր(jer)	1.9	3.0403386297265045	0.0	0.0	4
դա	51	27.98200373093384	4.44687881016046	2	13	դե, սա, կա, հա, դրա, գա, տա, դր, դավ, դաս, բա, դախ, մա	1.35	3.519565527794119	0.5608023469851414	0.3333333333333333	da	12	de, sa, ka, ha, ɡa, ta, dav, das, va, ba, daχ, ma	1.4	3.436407664739782	0.6073075564981675	0.4696969696969697	11	դե(de), սա(sa), կա(ka), հա(ha), գա(ɡa), տա(ta), դավ(dav), դաս(das), բա(ba), դախ(daχ), մա(ma)	1.45	3.49978030389226	0.5951123312039863	0.4363636363636363	2
ինչպես	51	27.98200373093384	4.44687881016046	6	0		2.95			0.0	intʃʰpes	0		3.25			0.0	0		3.3			0.0	8
մասին	51	27.98200373093384	4.44687881016046	5	2	միասին, մասն	1.9	3.216429888782186	0.0	0.0	masin	2	miasin, masən	1.9	3.216429888782186	0.0	0.0	2	միասին(miasin), մասն(masən)	1.9	3.216429888782186	0.0	0.0	5
թող	50	27.4333369911116	4.438278638398542	3	4	հող, գող, շող, կող	1.8	2.7393086340625232	0.0	1.0	tʰoʀ	0		2.0			0.0	0		2.0			0.0	4
ավելի	49	26.884670251289368	4.429504714091037	5	3	ավելին, ատելի, ավել	1.85	3.258076134318286	0.3939948569943728	0.0	aveli	3	avelin, ateli, avel	1.95	3.258076134318286	0.3939948569943728	0.0	3	ավելին(avelin), ատելի(ateli), ավել(avel)	2.15	3.258076134318286	0.3939948569943728	0.0	5
մեզ	46	25.238670031822668	4.402066465744097	3	5	քեզ, մեր, ձեզ, մեկ, մեծ	1.75	4.592907828446788	0.1905969269399707	0.4	mez	2	mer, mek	1.9	4.5429288859783945	0.1408624202342974	1.0	2	մեր(mer), մեկ(mek)	1.9	4.5429288859783945	0.1408624202342974	1.0	3
