word	raw_frequency	freq_per_m	zipf	num_letters	orth_density	orth_density_nbrs	OLD20	orth_nbr_zipf_m	orth_nbr_zipf_SD	orth_C	IPA	phon_density	phon_density_nbrs	PLD20	phon_nbr_zipf_m	phon_nbr_zipf_SD	phon_C	pg_density	pg_density_nbrs	PGLD20	pg_nbr_zipf_m	pg_nbr_zipf_SD	pg_C	num_phonemes
سیاح	1	0.7624566352788685	2.882215148222559	4	4	سیاہ, سیاحت, سیال, سیاق	1.8	3.2317001503905685	0.6053257802383115	0.5	saiaːh	0.0		2.5			0.0	0.0		2.65			0.0	6
اپمانت	1	0.7624566352788685	2.882215148222559	6	0		2.8			0.0	apmaːnət	0.0		3.35			0.0	0.0		3.5			0.0	8
رحمہ	1	0.7624566352788685	2.882215148222559	4	3	رحم, رحمت, رحمی	1.85	3.5072355693531256	0.482976236854354	1.0	rʌhəma	0.0		2.55			0.0	0.0		2.75			0.0	6
مرجاؤں	1	0.7624566352788685	2.882215148222559	6	0		2.85			0.0	mərɟaːoːn	0.0		2.8			0.0	0.0		3.1			0.0	9
قاصر	1	0.7624566352788685	2.882215148222559	4	0		2.0			0.0	qaːʂɪr	0.0		2.6			0.0	0.0		2.6			0.0	6
گریں	1	0.7624566352788685	2.882215148222559	4	13	گراں, گری, گریز, گرین, گرہیں, گریگ, گریڈ, دریں, گئیں, مریں, گپیں, گریس, گزریں	1.35	3.1408676462803413	0.1944945074437419	0.2179487179487179	ɡʌrẽː	5.0	ɡʌrãː, ɡʌrhẽː, dʌrẽː, mʌrẽː, ɡʌpẽː	1.75	3.1230391447537444	0.2252702213833326	0.1	5.0	گراں(ɡʌrãː), گرہیں(ɡʌrhẽː), دریں(dʌrẽː), مریں(mʌrẽː), گپیں(ɡʌpẽː)	1.75	3.1230391447537444	0.2252702213833326	0.1	6
خونصورت	1	0.7624566352788685	2.882215148222559	7	1	خوبصورت	3.6	4.779842239513	0.0	0.0	xoːnʂuːrat	0.0		5.15			0.0	0.0		5.15			0.0	10
ڈنڈوں	1	0.7624566352788685	2.882215148222559	5	2	گنڈوں, غنڈوں	2.0	2.882215148222559	0.0	1.0	ɖʌnɖõː	2.0	ɡʌnɖõː, ɣʌnɖõː	2.45	2.882215148222559	0.0	1.0	2.0	گنڈوں(ɡʌnɖõː), غنڈوں(ɣʌnɖõː)	2.45	2.882215148222559	0.0	1.0	7
تپتے	1	0.7624566352788685	2.882215148222559	4	1	پتے	1.95	3.6603663986062025	0.0	0.0	tʌpteː	0.0		2.2			0.0	0.0		2.3			0.0	6
چھونے	1	0.7624566352788685	2.882215148222559	5	7	چھوڑنے, کھونے, چھپنے, چھوڑے, چھونا, دھونے, چھوئے	1.65	3.351258180894495	0.358161236771499	0.1428571428571428	cʰuːneː	1.0	cʰuːnaː	2.4	3.1832451438865403	0.0	0.0	1.0	چھونا(cʰuːnaː)	2.4	3.1832451438865403	0.0	0.0	7
کارسن	1	0.7624566352788685	2.882215148222559	5	3	کاربن, کارکن, کارن	1.85	3.675618895459761	0.2059117477222728	1.0	kaːrəsən	1.0	kaːrəbən	2.8	3.961396394270184	0.0	0.0	1.0	کاربن(kaːrəbən)	2.85	3.961396394270184	0.0	0.0	8
گھٹتی	1	0.7624566352788685	2.882215148222559	5	0		2.25			0.0	ɡʰʌʈtiː	0.0		2.75			0.0	0.0		2.75			0.0	7
فضا	1	0.7624566352788685	2.882215148222559	3	3	فضل, رضا, فنا	1.85	3.215548481555892	0.2862660719899218	0.0	fʌzaː	9.0	sʌzaː, hʌzaː, hʌzaː, hʌzaː, rʌzaː, pʌzaː, ʋʌzaː, qʌzaː, fʌnaː	1.55	3.176801594222353	0.3309370866886659	0.6944444444444444	2.0	رضا(rʌzaː), فنا(fʌnaː)	1.9	3.0327301460545497	0.1505149978319906	0.0	5
قلیل	1	0.7624566352788685	2.882215148222559	4	3	ذلیل, دلیل, خلیل	1.85	3.14159889835044	0.1969974284971864	1.0	qəliːl	3.0	zəliːl, dəliːl, xəliːl	1.85	3.14159889835044	0.1969974284971864	1.0	3.0	ذلیل(zəliːl), دلیل(dəliːl), خلیل(xəliːl)	1.85	3.14159889835044	0.1969974284971864	1.0	6
